,AgeCog_W1,Sex,Race,Ethnicity,EduYrsEstCap,EduComp,HandednessScore,Height_W1
129,47,f,5,0.0,18.0,6.0,3.455,68.0
130,57,f,5,0.0,18.0,5.0,4.0,69.0
131,86,m,5,0.0,14.0,3.0,-999.0,70.0
132,82,f,5,0.0,15.0,3.0,4.0,63.0
133,24,f,5,0.0,16.0,4.0,3.364,71.0
134,88,f,5,0.0,17.0,5.0,3.818,60.5
135,75,f,5,0.0,16.0,5.0,3.636,63.0
136,35,f,5,0.0,14.0,3.0,3.273,63.0
137,30,f,5,0.0,21.0,7.0,4.0,62.0
138,36,m,5,0.0,18.0,5.0,4.0,76.0
139,57,f,5,0.0,18.0,6.0,3.636,65.0
140,34,f,5,0.0,16.0,4.0,3.818,66.0
141,83,m,5,0.0,21.0,7.0,3.727,69.0
